ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล,"T. Ko Sarai, A. Mueang Satun, Changwat Satun",อ. เมืองสตูล,T. Mueang Satun,6.546,99.706,จ. สตูล,Changwat Satun,ต. เกาะสาหร่าย,A. Ko Sarai
ต. มาบตาพุด อ. เมืองระยอง จ. ระยอง,"T. Map Ta Phut, A. Mueang Rayong, Changwat Rayong",อ. เมืองระยอง,T. Mueang Rayong,12.646,101.171,จ. ระยอง,Changwat Rayong,ต. มาบตาพุด,A. Map Ta Phut
ต. มาบตาพุด อ. เมืองระยอง จ. ระยอง,"T. Map Ta Phut, A. Mueang Rayong, Changwat Rayong",อ. เมืองระยอง,T. Mueang Rayong,12.645,101.17,จ. ระยอง,Changwat Rayong,ต. มาบตาพุด,A. Map Ta Phut
ต. มาบตาพุด อ. เมืองระยอง จ. ระยอง,"T. Map Ta Phut, A. Mueang Rayong, Changwat Rayong",อ. เมืองระยอง,T. Mueang Rayong,12.649,101.174,จ. ระยอง,Changwat Rayong,ต. มาบตาพุด,A. Map Ta Phut
ต. มาบตาพุด อ. เมืองระยอง จ. ระยอง,"T. Map Ta Phut, A. Mueang Rayong, Changwat Rayong",อ. เมืองระยอง,T. Mueang Rayong,12.644,101.169,จ. ระยอง,Changwat Rayong,ต. มาบตาพุด,A. Map Ta Phut
ต. หาดทรายรี อ. เมืองชุมพร จ. ชุมพร,"T. Hat Sai Ri, A. Mueang Chumphon, Changwat Chumphon",อ. เมืองชุมพร,T. Mueang Chumphon,10.459,99.403,จ. ชุมพร,Changwat Chumphon,ต. หาดทรายรี,A. Hat Sai Ri
ต. ด่านสวี อ. สวี จ. ชุมพร,"T. Dan Sawi, A. Sawi, Changwat Chumphon",อ. สวี,T. Sawi,10.291,99.241,จ. ชุมพร,Changwat Chumphon,ต. ด่านสวี,A. Dan Sawi
ต. ท่าตูม อ. เมืองมหาสารคาม จ. มหาสารคาม,"T. Tha Tum, A. Mueang Maha Sarakham, Changwat Maha Sarakham",อ. เมืองมหาสารคาม,T. Mueang Maha Sarakham,16.162,103.484,จ. มหาสารคาม,Changwat Maha Sarakham,ต. ท่าตูม,A. Tha Tum
ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี,"T. Ang Thong, A. Ko Samui, Changwat Surat Thani",อ. เกาะสมุย,T. Ko Samui,9.708,99.675,จ. สุราษฎร์ธานี,Changwat Surat Thani,ต. อ่างทอง,A. Ang Thong
ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี,"T. Ang Thong, A. Ko Samui, Changwat Surat Thani",อ. เกาะสมุย,T. Ko Samui,9.796,99.713,จ. สุราษฎร์ธานี,Changwat Surat Thani,ต. อ่างทอง,A. Ang Thong
ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี,"T. Ang Thong, A. Ko Samui, Changwat Surat Thani",อ. เกาะสมุย,T. Ko Samui,9.677,99.659,จ. สุราษฎร์ธานี,Changwat Surat Thani,ต. อ่างทอง,A. Ang Thong
ต. สัตหีบ อ. สัตหีบ จ. ชลบุรี,"T. Sattahip, A. Sattahip, Changwat Chonburi",อ. สัตหีบ,T. Sattahip,12.611,100.889,จ. ชลบุรี,Changwat Chonburi,ต. สัตหีบ,A. Sattahip
ต. ตะเสะ อ. หาดสำราญ จ. ตรัง,"T. Tase, A. Hat Samran, Changwat Trang",อ. หาดสำราญ,T. Hat Samran,7.033,99.449,จ. ตรัง,Changwat Trang,ต. ตะเสะ,A. Tase
ต. หาดทรายรี อ. เมืองชุมพร จ. ชุมพร,"T. Hat Sai Ri, A. Mueang Chumphon, Changwat Chumphon",อ. เมืองชุมพร,T. Mueang Chumphon,10.477,99.369,จ. ชุมพร,Changwat Chumphon,ต. หาดทรายรี,A. Hat Sai Ri
ต. ปากคลอง อ. ปะทิว จ. ชุมพร,Pak Khlong Pathio Changwat Chumphon,อ. ปะทิว,Pathio,10.862,99.486,จ. ชุมพร,Changwat Chumphon,ต. ปากคลอง,Pak Khlong
ต. ปากตะโก อ. ทุ่งตะโก จ. ชุมพร,"T. Tako, A. Thung Tako, Changwat Chumphon",อ. ทุ่งตะโก,T. Thung Tako,10.165,99.176,จ. ชุมพร,Changwat Chumphon,ต. ปากตะโก,A. Tako
ต. ปากคลอง อ. ปะทิว จ. ชุมพร,Pak Khlong Pathio Changwat Chumphon,อ. ปะทิว,Pathio,10.8,99.538,จ. ชุมพร,Changwat Chumphon,ต. ปากคลอง,Pak Khlong
ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล,"T. Ko Sarai, A. Mueang Satun, Changwat Satun",อ. เมืองสตูล,T. Mueang Satun,6.672,99.844,จ. สตูล,Changwat Satun,ต. เกาะสาหร่าย,A. Ko Sarai
ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี,"T. Ang Thong, A. Ko Samui, Changwat Surat Thani",อ. เกาะสมุย,T. Ko Samui,9.767,99.668,จ. สุราษฎร์ธานี,Changwat Surat Thani,ต. อ่างทอง,A. Ang Thong
ต. หาดทรายรี อ. เมืองชุมพร จ. ชุมพร,"T. Hat Sai Ri, A. Mueang Chumphon, Changwat Chumphon",อ. เมืองชุมพร,T. Mueang Chumphon,10.466,99.359,จ. ชุมพร,Changwat Chumphon,ต. หาดทรายรี,A. Hat Sai Ri
ต. ปากตะโก อ. ทุ่งตะโก จ. ชุมพร,"T. Tako, A. Thung Tako, Changwat Chumphon",อ. ทุ่งตะโก,T. Thung Tako,10.131,99.165,จ. ชุมพร,Changwat Chumphon,ต. ปากตะโก,A. Tako
ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล,"T. Ko Sarai, A. Mueang Satun, Changwat Satun",อ. เมืองสตูล,T. Mueang Satun,6.705,99.799,จ. สตูล,Changwat Satun,ต. เกาะสาหร่าย,A. Ko Sarai
ต. ตะเสะ อ. หาดสำราญ จ. ตรัง,"T. Tase, A. Hat Samran, Changwat Trang",อ. หาดสำราญ,T. Hat Samran,6.984,99.473,จ. ตรัง,Changwat Trang,ต. ตะเสะ,A. Tase
ต. ด่านสวี อ. สวี จ. ชุมพร,"T. Dan Sawi, A. Sawi, Changwat Chumphon",อ. สวี,T. Sawi,10.197,99.221,จ. ชุมพร,Changwat Chumphon,ต. ด่านสวี,A. Dan Sawi
ต. ปากตะโก อ. ทุ่งตะโก จ. ชุมพร,"T. Tako, A. Thung Tako, Changwat Chumphon",อ. ทุ่งตะโก,T. Thung Tako,10.118,99.216,จ. ชุมพร,Changwat Chumphon,ต. ปากตะโก,A. Tako
ต. ตะเสะ อ. หาดสำราญ จ. ตรัง,"T. Tase, A. Hat Samran, Changwat Trang",อ. หาดสำราญ,T. Hat Samran,7.067,99.398,จ. ตรัง,Changwat Trang,ต. ตะเสะ,A. Tase
ต. ปากคลอง อ. ปะทิว จ. ชุมพร,Pak Khlong Pathio Changwat Chumphon,อ. ปะทิว,Pathio,10.782,99.53,จ. ชุมพร,Changwat Chumphon,ต. ปากคลอง,Pak Khlong
ต. บางกะไชย อ. แหลมสิงห์ จ. จันทบุรี,"T. Bang Kachai, A. Laem Sing, Changwat Chanthaburi",อ. แหลมสิงห์,T. Laem Sing,12.465,102.066,จ. จันทบุรี,Changwat Chanthaburi,ต. บางกะไชย,A. Bang Kachai
ต. ตะเสะ อ. หาดสำราญ จ. ตรัง,"T. Tase, A. Hat Samran, Changwat Trang",อ. หาดสำราญ,T. Hat Samran,7.016,99.445,จ. ตรัง,Changwat Trang,ต. ตะเสะ,A. Tase
ต. ปากคลอง อ. ปะทิว จ. ชุมพร,Pak Khlong Pathio Changwat Chumphon,อ. ปะทิว,Pathio,10.84,99.497,จ. ชุมพร,Changwat Chumphon,ต. ปากคลอง,Pak Khlong
ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล,"T. Ko Sarai, A. Mueang Satun, Changwat Satun",อ. เมืองสตูล,T. Mueang Satun,6.71,99.794,จ. สตูล,Changwat Satun,ต. เกาะสาหร่าย,A. Ko Sarai
ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี,"T. Ang Thong, A. Ko Samui, Changwat Surat Thani",อ. เกาะสมุย,T. Ko Samui,9.707,99.676,จ. สุราษฎร์ธานี,Changwat Surat Thani,ต. อ่างทอง,A. Ang Thong
ต. เกาะพระทอง อ. คุระบุรี จ. พังงา,"T. Ko Phra Thong, A. Khura Buri, Changwat Phang Nga",อ. คุระบุรี,T. Khura Buri,9.406,97.901,จ. พังงา,Changwat Phang Nga,ต. เกาะพระทอง,A. Ko Phra Thong
ต. แสมสาร อ. สัตหีบ จ. ชลบุรี,"T. Samaesan, A. Sattahip, Changwat Chonburi",อ. สัตหีบ,T. Sattahip,12.616,100.918,จ. ชลบุรี,Changwat Chonburi,ต. แสมสาร,A. Samaesan
ต. ตะเสะ อ. หาดสำราญ จ. ตรัง,"T. Tase, A. Hat Samran, Changwat Trang",อ. หาดสำราญ,T. Hat Samran,7.075,99.451,จ. ตรัง,Changwat Trang,ต. ตะเสะ,A. Tase
ต. เกาะหมาก อ. เกาะกูด จ. ตราด,"T. Ko Mak, A. Ko Kut, Changwat Trat",อ. เกาะกูด,T. Ko Kut,11.817,102.397,จ. ตราด,Changwat Trat,ต. เกาะหมาก,A. Ko Mak
ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี,"T. Ang Thong, A. Ko Samui, Changwat Surat Thani",อ. เกาะสมุย,T. Ko Samui,9.551,99.694,จ. สุราษฎร์ธานี,Changwat Surat Thani,ต. อ่างทอง,A. Ang Thong
ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล,"T. Ko Sarai, A. Mueang Satun, Changwat Satun",อ. เมืองสตูล,T. Mueang Satun,6.582,99.719,จ. สตูล,Changwat Satun,ต. เกาะสาหร่าย,A. Ko Sarai
ต. เกาะพระทอง อ. คุระบุรี จ. พังงา,"T. Ko Phra Thong, A. Khura Buri, Changwat Phang Nga",อ. คุระบุรี,T. Khura Buri,9.495,97.874,จ. พังงา,Changwat Phang Nga,ต. เกาะพระทอง,A. Ko Phra Thong
ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล,"T. Ko Sarai, A. Mueang Satun, Changwat Satun",อ. เมืองสตูล,T. Mueang Satun,6.551,99.35,จ. สตูล,Changwat Satun,ต. เกาะสาหร่าย,A. Ko Sarai
ต. เกาะหมาก อ. เกาะกูด จ. ตราด,"T. Ko Mak, A. Ko Kut, Changwat Trat",อ. เกาะกูด,T. Ko Kut,11.805,102.376,จ. ตราด,Changwat Trat,ต. เกาะหมาก,A. Ko Mak
ต. เกาะหมาก อ. เกาะกูด จ. ตราด,"T. Ko Mak, A. Ko Kut, Changwat Trat",อ. เกาะกูด,T. Ko Kut,11.857,102.525,จ. ตราด,Changwat Trat,ต. เกาะหมาก,A. Ko Mak
ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี,"T. Ang Thong, A. Ko Samui, Changwat Surat Thani",อ. เกาะสมุย,T. Ko Samui,9.681,99.677,จ. สุราษฎร์ธานี,Changwat Surat Thani,ต. อ่างทอง,A. Ang Thong
ต. กำพวน อ. สุขสำราญ จ. ระนอง,"T. Kamphuan, A. Suk Samran, Changwat Ranong",อ. สุขสำราญ,T. Suk Samran,9.401,98.392,จ. ระนอง,Changwat Ranong,ต. กำพวน,A. Kamphuan
ต. เกาะนก อ. กันตัง จ. ตรัง,,อ. กันตัง,,7.272,99.475,จ. ตรัง,,ต. เกาะนก,
ต. ดอนสัก อ. ดอนสัก จ. สุราษฎร์ธานี,"T. Don Sak, A. Don Sak, Changwat Surat Thani",อ. ดอนสัก,T. Don Sak,9.31,99.66,จ. สุราษฎร์ธานี,Changwat Surat Thani,ต. ดอนสัก,A. Don Sak
ต. ด่านสวี อ. สวี จ. ชุมพร,"T. Dan Sawi, A. Sawi, Changwat Chumphon",อ. สวี,T. Sawi,10.247,99.249,จ. ชุมพร,Changwat Chumphon,ต. ด่านสวี,A. Dan Sawi
ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี,"T. Ang Thong, A. Ko Samui, Changwat Surat Thani",อ. เกาะสมุย,T. Ko Samui,9.699,99.68,จ. สุราษฎร์ธานี,Changwat Surat Thani,ต. อ่างทอง,A. Ang Thong
ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล,"T. Ko Sarai, A. Mueang Satun, Changwat Satun",อ. เมืองสตูล,T. Mueang Satun,6.675,99.833,จ. สตูล,Changwat Satun,ต. เกาะสาหร่าย,A. Ko Sarai
ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี,"T. Ang Thong, A. Ko Samui, Changwat Surat Thani",อ. เกาะสมุย,T. Ko Samui,9.709,99.676,จ. สุราษฎร์ธานี,Changwat Surat Thani,ต. อ่างทอง,A. Ang Thong
ต. เกาะหมาก อ. เกาะกูด จ. ตราด,"T. Ko Mak, A. Ko Kut, Changwat Trat",อ. เกาะกูด,T. Ko Kut,11.815,102.398,จ. ตราด,Changwat Trat,ต. เกาะหมาก,A. Ko Mak
ต. เกาะหมาก อ. เกาะกูด จ. ตราด,"T. Ko Mak, A. Ko Kut, Changwat Trat",อ. เกาะกูด,T. Ko Kut,11.819,102.402,จ. ตราด,Changwat Trat,ต. เกาะหมาก,A. Ko Mak
ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี,"T. Ang Thong, A. Ko Samui, Changwat Surat Thani",อ. เกาะสมุย,T. Ko Samui,9.696,99.662,จ. สุราษฎร์ธานี,Changwat Surat Thani,ต. อ่างทอง,A. Ang Thong
ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล,"T. Ko Sarai, A. Mueang Satun, Changwat Satun",อ. เมืองสตูล,T. Mueang Satun,6.542,99.164,จ. สตูล,Changwat Satun,ต. เกาะสาหร่าย,A. Ko Sarai
ต. เกาะหมาก อ. เกาะกูด จ. ตราด,"T. Ko Mak, A. Ko Kut, Changwat Trat",อ. เกาะกูด,T. Ko Kut,11.858,102.523,จ. ตราด,Changwat Trat,ต. เกาะหมาก,A. Ko Mak
ต. เกาะลิบง อ. กันตัง จ. ตรัง,"T. Ko Libong, A. Kantang, Changwat Trang",อ. กันตัง,T. Kantang,7.303,99.394,จ. ตรัง,Changwat Trang,ต. เกาะลิบง,A. Ko Libong
ต. เกาะแก้ว อ. เมืองภูเก็ต จ. ภูเก็ต,"T. Ko Kaeo, A. Mueang Phuket, Changwat Phuket",อ. เมืองภูเก็ต,T. Mueang Phuket,7.924,98.455,จ. ภูเก็ต,Changwat Phuket,ต. เกาะแก้ว,A. Ko Kaeo
ต. ด่านสวี อ. สวี จ. ชุมพร,"T. Dan Sawi, A. Sawi, Changwat Chumphon",อ. สวี,T. Sawi,10.222,99.243,จ. ชุมพร,Changwat Chumphon,ต. ด่านสวี,A. Dan Sawi
ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล,"T. Ko Sarai, A. Mueang Satun, Changwat Satun",อ. เมืองสตูล,T. Mueang Satun,6.524,99.269,จ. สตูล,Changwat Satun,ต. เกาะสาหร่าย,A. Ko Sarai
ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี,"T. Ang Thong, A. Ko Samui, Changwat Surat Thani",อ. เกาะสมุย,T. Ko Samui,9.706,99.675,จ. สุราษฎร์ธานี,Changwat Surat Thani,ต. อ่างทอง,A. Ang Thong
ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี,"T. Ang Thong, A. Ko Samui, Changwat Surat Thani",อ. เกาะสมุย,T. Ko Samui,9.661,99.659,จ. สุราษฎร์ธานี,Changwat Surat Thani,ต. อ่างทอง,A. Ang Thong
ต. เกาะพระทอง อ. คุระบุรี จ. พังงา,"T. Ko Phra Thong, A. Khura Buri, Changwat Phang Nga",อ. คุระบุรี,T. Khura Buri,9.472,97.876,จ. พังงา,Changwat Phang Nga,ต. เกาะพระทอง,A. Ko Phra Thong
ต. หาดทรายรี อ. เมืองชุมพร จ. ชุมพร,"T. Hat Sai Ri, A. Mueang Chumphon, Changwat Chumphon",อ. เมืองชุมพร,T. Mueang Chumphon,10.486,99.418,จ. ชุมพร,Changwat Chumphon,ต. หาดทรายรี,A. Hat Sai Ri
ต. กำพวน อ. สุขสำราญ จ. ระนอง,"T. Kamphuan, A. Suk Samran, Changwat Ranong",อ. สุขสำราญ,T. Suk Samran,9.5,98.374,จ. ระนอง,Changwat Ranong,ต. กำพวน,A. Kamphuan
ต. เกาะหมาก อ. เกาะกูด จ. ตราด,"T. Ko Mak, A. Ko Kut, Changwat Trat",อ. เกาะกูด,T. Ko Kut,11.808,102.378,จ. ตราด,Changwat Trat,ต. เกาะหมาก,A. Ko Mak
ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล,"T. Ko Sarai, A. Mueang Satun, Changwat Satun",อ. เมืองสตูล,T. Mueang Satun,6.515,99.174,จ. สตูล,Changwat Satun,ต. เกาะสาหร่าย,A. Ko Sarai
ต. หาดทรายรี อ. เมืองชุมพร จ. ชุมพร,"T. Hat Sai Ri, A. Mueang Chumphon, Changwat Chumphon",อ. เมืองชุมพร,T. Mueang Chumphon,10.506,99.425,จ. ชุมพร,Changwat Chumphon,ต. หาดทรายรี,A. Hat Sai Ri
ต. ไม้ฝาด อ. สิเกา จ. ตรัง,"T. Mai Fat, A. Sikao, Changwat Trang",อ. สิเกา,T. Sikao,7.47,99.32,จ. ตรัง,Changwat Trang,ต. ไม้ฝาด,A. Mai Fat
ต. ศรีราชา อ. ศรีราชา จ. ชลบุรี,"T. Si Racha, A. Si Racha, Changwat Chonburi",อ. ศรีราชา,T. Si Racha,13.174,100.92,จ. ชลบุรี,Changwat Chonburi,ต. ศรีราชา,A. Si Racha
ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี,"T. Ang Thong, A. Ko Samui, Changwat Surat Thani",อ. เกาะสมุย,T. Ko Samui,9.681,99.667,จ. สุราษฎร์ธานี,Changwat Surat Thani,ต. อ่างทอง,A. Ang Thong
ต. หาดทรายรี อ. เมืองชุมพร จ. ชุมพร,"T. Hat Sai Ri, A. Mueang Chumphon, Changwat Chumphon",อ. เมืองชุมพร,T. Mueang Chumphon,10.349,99.295,จ. ชุมพร,Changwat Chumphon,ต. หาดทรายรี,A. Hat Sai Ri
ต. เขาทอง อ. เมืองกระบี่ จ. กระบี่,"T. Khao Thong, A. Mueang Krabi, Changwat Krabi",อ. เมืองกระบี่,T. Mueang Krabi,8.049,98.676,จ. กระบี่,Changwat Krabi,ต. เขาทอง,A. Khao Thong
ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล,"T. Ko Sarai, A. Mueang Satun, Changwat Satun",อ. เมืองสตูล,T. Mueang Satun,6.485,99.366,จ. สตูล,Changwat Satun,ต. เกาะสาหร่าย,A. Ko Sarai
